dataset	species	k	genomes	kmers	bc.seq.count	bc.cum.len	pa.seq.count	pa.cum.len	impr.seq.count	impr.cum.len
sp31	spneumoniae	31	300	8717100	410626	21035880	134509	12752369	3.05277713758931	1.64956644526205
sp31	spneumoniae	31	320	8777490	415999	21257460	136249	12864959	3.05322607872351	1.65235349758985
sp31	spneumoniae	31	340	8854873	422109	21518143	138241	13002102	3.05342843295404	1.65497417263762
sp31	spneumoniae	31	350	8884345	424804	21628465	139134	13058364	3.05320051173689	1.65629208988201
sp31	spneumoniae	31	360	8923520	428652	21783080	140387	13135129	3.05335964156225	1.65838340833958
sp31	spneumoniae	31	380	8963118	432255	21930768	141566	13210097	3.0533814616504	1.66015192772619
sp31	spneumoniae	31	400	9005354	436266	22093334	142890	13292053	3.05315977325215	1.66214609586645
sp31	spneumoniae	31	420	9050155	440279	22258525	144203	13376244	3.05318890730429	1.66403401433168
sp31	spneumoniae	31	440	9119590	446047	22501000	146090	13502289	3.05323430761859	1.66645818349763
sp31	spneumoniae	31	450	9136917	447628	22565757	146610	13535216	3.05318873201009	1.66718853987997
sp31	spneumoniae	31	460	9200981	452135	22765031	148085	13643530	3.05321268190566	1.66855872343888
sp31	spneumoniae	31	480	9253902	456665	22953852	149570	13741001	3.0531857992913	1.67046432788994
sp31	spneumoniae	31	500	9360544	463390	23262244	151772	13913703	3.0531982183802	1.6718945344744
sp31	spneumoniae	31	520	9413944	467884	23450464	153231	14010873	3.05345524078026	1.67373324988386
sp31	spneumoniae	31	540	9470771	469993	23570561	153923	14088460	3.05342931205863	1.67304027551627
sp31	spneumoniae	31	550	9483141	470978	23612481	154239	14110310	3.05355973521613	1.67342042804162
sp31	spneumoniae	31	560	9500547	472539	23676717	154741	14142776	3.05374141307087	1.67412090808763
sp31	spneumoniae	31	580	9540004	476598	23837944	156052	14221563	3.05409735216466	1.67618313120717
sp31	spneumoniae	31	600	9617386	482711	24098716	158045	14358735	3.05426302635325	1.67833141289953
sp31	spneumoniae	31	616	9634685	484504	24169805	158636	14393764	3.054186943695	1.67918586132161
