species	method	k	threads	cputime.sm	mem.sm	hostname	cputime.gnu	mem.gnu
celegan	bc	30	1	2273.9355	3500.68	compute-f-17-16.o2.rc.hms.harvard.edu	2273.37	5932.516
celegan	bc	31	1	2452.299	3483.05	compute-a-16-44.o2.rc.hms.harvard.edu	2452.02	5944.568
celegan	bc	32	1	3984.8894	4321.14	compute-f-17-16.o2.rc.hms.harvard.edu	3983	7421.692
celegan	bc	11	4	174.3589	840.42	compute-e-16-241.o2.rc.hms.harvard.edu	173.79	1305.356
celegan	bc	12	4	418.2163	779.10	compute-e-16-190.o2.rc.hms.harvard.edu	415.74	794.824
celegan	bc	13	4	981.556	1289.81	compute-f-17-12.o2.rc.hms.harvard.edu	966.27	1317.384
celegan	bc	14	4	1435.9635	1339.23	compute-e-16-182.o2.rc.hms.harvard.edu	1430.54	1368.916
celegan	bc	15	4	1836.8748	1223.00	compute-f-17-13.o2.rc.hms.harvard.edu	1813.41	1413.192
celegan	bc	16	4	1561.0174	1286.45	compute-f-17-15.o2.rc.hms.harvard.edu	1544.95	1692.14
celegan	bc	17	4	1398.7999	1288.85	compute-a-16-77.o2.rc.hms.harvard.edu	1396.27	1395.92
celegan	bc	18	4	1144.4478	1296.00	compute-f-17-14.o2.rc.hms.harvard.edu	1138.9	1644.068
celegan	bc	19	4	903.7207	1286.19	compute-e-16-185.o2.rc.hms.harvard.edu	902.81	1666.672
celegan	bc	20	4	1023.5312	1296.59	compute-a-16-142.o2.rc.hms.harvard.edu	1022.44	1556.312
celegan	bc	21	4	909.1812	1275.28	compute-a-16-59.o2.rc.hms.harvard.edu	908.75	1373.808
celegan	bc	22	4	759.9484	1260.50	compute-e-16-192.o2.rc.hms.harvard.edu	759.49	1592.44
celegan	bc	23	4	874.818	1246.17	compute-e-16-187.o2.rc.hms.harvard.edu	874.5	1478.552
celegan	bc	24	4	777.7363	1231.55	compute-e-16-239.o2.rc.hms.harvard.edu	777.37	1589.052
celegan	bc	25	4	936.3231	1329.89	compute-a-17-85.o2.rc.hms.harvard.edu	935.67	1442.12
celegan	bc	26	4	793.4287	1210.41	compute-e-16-182.o2.rc.hms.harvard.edu	793.15	1748.144
celegan	bc	27	4	817.8232	1286.50	compute-a-16-59.o2.rc.hms.harvard.edu	817.54	1419.236
celegan	bc	28	4	680.4976	1293.86	compute-e-16-188.o2.rc.hms.harvard.edu	680.14	1644.68
celegan	bc	29	4	813.0176	1306.25	compute-a-16-59.o2.rc.hms.harvard.edu	812.72	1433.2
celegan	bc	30	4	774.2592	1198.95	compute-f-17-11.o2.rc.hms.harvard.edu	773.76	1701.392
