species	method	k	threads	hostname	cputime	mem
hg38	bc	21	1	compute-a-16-72.o2.rc.hms.harvard.edu	69764.0	52880596
hg38	bc	22	1	compute-f-17-19.o2.rc.hms.harvard.edu	62362.0	53326004
hg38	bc	23	1	compute-a-16-153.o2.rc.hms.harvard.edu	75898.0	53681704
hg38	bc	24	1	compute-a-16-153.o2.rc.hms.harvard.edu	70617.0	54000708
hg38	bc	25	1	compute-a-17-131.o2.rc.hms.harvard.edu	70344.0	54282908
hg38	bc	26	1	compute-a-17-117.o2.rc.hms.harvard.edu	71213.0	54538544
hg38	bc	27	1	compute-a-16-135.o2.rc.hms.harvard.edu	72600.0	54774412
hg38	bc	28	1	compute-a-16-71.o2.rc.hms.harvard.edu	71458.0	54989304
hg38	bc	29	1	compute-a-17-105.o2.rc.hms.harvard.edu	77714.0	55195556
hg38	bc	30	1	compute-e-16-251.o2.rc.hms.harvard.edu	58545.0	55377072
hg38	bc	31	1	compute-a-17-71.o2.rc.hms.harvard.edu	72066.0	55544452
hg38	bc	32	1	compute-e-16-212.o2.rc.hms.harvard.edu	94824.0	35494476
hg38	bc	11	4	compute-e-16-183.o2.rc.hms.harvard.edu	2610.04	6605864
hg38	bc	12	4	compute-e-16-188.o2.rc.hms.harvard.edu	2746.24	6604924
hg38	bc	13	4	compute-a-16-148.o2.rc.hms.harvard.edu	4167.0	6605180
hg38	bc	14	4	compute-a-17-134.o2.rc.hms.harvard.edu	7534.0	6590408
hg38	bc	15	4	compute-a-17-103.o2.rc.hms.harvard.edu	16426.0	7166884
hg38	bc	16	4	compute-e-16-184.o2.rc.hms.harvard.edu	30030.0	10563304
hg38	bc	17	4	compute-a-16-95.o2.rc.hms.harvard.edu	50109.0	13592772
hg38	bc	18	4	compute-a-17-76.o2.rc.hms.harvard.edu	51021.0	13582144
hg38	bc	19	4	compute-h-17-54.o2.rc.hms.harvard.edu	38401.0	9564556
hg38	bc	20	4	compute-e-16-181.o2.rc.hms.harvard.edu	25386.0	13713924
hg38	bc	21	4	compute-a-17-90.o2.rc.hms.harvard.edu	27265.0	11159072
hg38	bc	22	4	compute-a-17-133.o2.rc.hms.harvard.edu	26106.0	12520888
hg38	bc	23	4	compute-e-16-239.o2.rc.hms.harvard.edu	22394.0	13033028
hg38	bc	24	4	compute-e-16-193.o2.rc.hms.harvard.edu	22818.0	12106712
hg38	bc	25	4	compute-e-16-188.o2.rc.hms.harvard.edu	20175.0	13529228
hg38	bc	26	4	compute-e-16-243.o2.rc.hms.harvard.edu	22258.0	12268816
hg38	bc	27	4	compute-h-17-55.o2.rc.hms.harvard.edu	23257.0	12148448
hg38	bc	28	4	compute-a-17-78.o2.rc.hms.harvard.edu	24404.0	11468180
hg38	bc	29	4	compute-f-17-14.o2.rc.hms.harvard.edu	22997.0	12347916
hg38	bc	30	4	compute-a-16-98.o2.rc.hms.harvard.edu	23453.0	11829660
hg38	bc	31	4	compute-a-16-89.o2.rc.hms.harvard.edu	23979.0	10683064
hg38	bc	32	4	compute-e-16-189.o2.rc.hms.harvard.edu	34138.0	10491236
hg38	pa	11	1	compute-e-16-186.o2.rc.hms.harvard.edu	747.02	328288
hg38	pa	12	1	compute-a-16-95.o2.rc.hms.harvard.edu	959.75	575828
hg38	pa	13	1	compute-h-17-50.o2.rc.hms.harvard.edu	1191.63	1541636
hg38	pa	14	1	compute-e-16-242.o2.rc.hms.harvard.edu	1422.77	4977912
hg38	pa	15	1	compute-e-16-182.o2.rc.hms.harvard.edu	1846.63	17022356
hg38	pa	16	1	compute-e-16-242.o2.rc.hms.harvard.edu	2900.77	35075696
hg38	pa	17	1	compute-h-17-51.o2.rc.hms.harvard.edu	4350.0	69428540
hg38	pa	18	1	compute-h-17-50.o2.rc.hms.harvard.edu	5192.0	77541708
hg38	pa	19	1	compute-a-17-127.o2.rc.hms.harvard.edu	7339.0	85004080
hg38	pa	20	1	compute-h-17-51.o2.rc.hms.harvard.edu	5425.0	88731904
hg38	pa	21	1	compute-h-17-51.o2.rc.hms.harvard.edu	5409.0	90767616
hg38	pa	22	1	compute-h-17-50.o2.rc.hms.harvard.edu	5141.0	92099164
hg38	pa	23	1	compute-h-17-54.o2.rc.hms.harvard.edu	5777.0	93124664
hg38	pa	24	1	compute-h-17-54.o2.rc.hms.harvard.edu	6052.0	94002304
hg38	pa	25	1	compute-h-17-54.o2.rc.hms.harvard.edu	5353.0	94787228
hg38	pa	26	1	compute-a-17-111.o2.rc.hms.harvard.edu	7343.0	95509172
hg38	pa	27	1	compute-e-16-188.o2.rc.hms.harvard.edu	7242.0	96180228
hg38	pa	28	1	compute-e-16-243.o2.rc.hms.harvard.edu	6839.0	96808784
hg38	pa	29	1	compute-h-17-50.o2.rc.hms.harvard.edu	5844.0	97396024
hg38	pa	30	1	compute-a-17-132.o2.rc.hms.harvard.edu	8564.0	97953124
hg38	pa	31	1	compute-a-16-123.o2.rc.hms.harvard.edu	6916.0	98477920
hg38	pa	32	1	compute-a-17-122.o2.rc.hms.harvard.edu	7934.0	98975328
spneumoniae	bc	11	1	compute-e-16-240.o2.rc.hms.harvard.edu	77.61	1110000
spneumoniae	bc	12	1	compute-e-16-241.o2.rc.hms.harvard.edu	88.32	1118508
spneumoniae	bc	13	1	compute-f-17-13.o2.rc.hms.harvard.edu	94.05	1095944
spneumoniae	bc	14	1	compute-e-16-189.o2.rc.hms.harvard.edu	69.66	1119124
spneumoniae	bc	15	1	compute-e-16-241.o2.rc.hms.harvard.edu	61.99	894068
spneumoniae	bc	16	1	compute-e-16-182.o2.rc.hms.harvard.edu	65.58	596556
spneumoniae	bc	17	1	compute-e-16-188.o2.rc.hms.harvard.edu	55.33	486912
spneumoniae	bc	18	1	compute-f-17-12.o2.rc.hms.harvard.edu	58.88	412080
spneumoniae	bc	19	1	compute-e-16-182.o2.rc.hms.harvard.edu	59.05	412112
spneumoniae	bc	20	1	compute-e-16-239.o2.rc.hms.harvard.edu	57.32	393204
spneumoniae	bc	21	1	compute-e-16-188.o2.rc.hms.harvard.edu	53.81	377196
