name	simplitigs	cum len	kmers
achromobacter_xylosoxidans.bc31.fsa	641985	51481249	32221699
achromobacter_xylosoxidans.pa19.fsa	519037	37671906	28329240
achromobacter_xylosoxidans.pa23.fsa	318444	37103764	30097996
achromobacter_xylosoxidans.pa27.fsa	235003	37381823	31271745
achromobacter_xylosoxidans.pa31.fsa	210890	38548399	32221699
acidaminococcus_fermentans.bc19.fsa	9924	2441202	2262570
acidaminococcus_fermentans.bc23.fsa	3484	2346367	2269719
acidaminococcus_fermentans.bc27.fsa	2361	2335126	2273740
acidaminococcus_fermentans.bc31.fsa	1769	2329660	2276590
acidaminococcus_fermentans.pa19.fsa	2329	2304492	2262570
acidaminococcus_fermentans.pa23.fsa	1078	2293435	2269719
acidaminococcus_fermentans.pa27.fsa	743	2293058	2273740
acidaminococcus_fermentans.pa31.fsa	570	2293690	2276590
acidaminococcus_intestini.bc19.fsa	5524	2502976	2403544
acidaminococcus_intestini.bc23.fsa	3016	2475061	2408709
acidaminococcus_intestini.bc27.fsa	2239	2470455	2412241
acidaminococcus_intestini.bc31.fsa	1689	2465564	2414894
acidaminococcus_intestini.pa19.fsa	1532	2431120	2403544
acidaminococcus_intestini.pa23.fsa	970	2430049	2408709
acidaminococcus_intestini.pa27.fsa	714	2430805	2412241
acidaminococcus_intestini.pa31.fsa	567	2431904	2414894
acidibrevibacterium_fodinaquatile.bc19.fsa	39069	4505468	3802226
acidibrevibacterium_fodinaquatile.bc23.fsa	7889	3994956	3821398
acidibrevibacterium_fodinaquatile.bc27.fsa	5800	3981163	3830363
acidibrevibacterium_fodinaquatile.bc31.fsa	4891	3984384	3837654
acidibrevibacterium_fodinaquatile.pa19.fsa	7506	3937334	3802226
acidibrevibacterium_fodinaquatile.pa23.fsa	2444	3875166	3821398
acidibrevibacterium_fodinaquatile.pa27.fsa	1875	3879113	3830363
acidibrevibacterium_fodinaquatile.pa31.fsa	1624	3886374	3837654
acidiferrobacter_sp.bc19.fsa	11095	3371743	3172033
acidiferrobacter_sp.bc23.fsa	4573	3280703	3180097
acidiferrobacter_sp.bc27.fsa	3856	3286047	3185791
acidiferrobacter_sp.bc31.fsa	3429	3293674	3190804
acidiferrobacter_sp.pa19.fsa	2636	3219481	3172033
acidiferrobacter_sp.pa23.fsa	1511	3213339	3180097
acidiferrobacter_sp.pa27.fsa	1294	3219435	3185791
acidiferrobacter_sp.pa31.fsa	1170	3225904	3190804
acidihalobacter_prosperus.bc19.fsa	5768	3581595	3477771
acidihalobacter_prosperus.bc23.fsa	2408	3534968	3481992
acidihalobacter_prosperus.bc27.fsa	1909	3534481	3484847
acidihalobacter_prosperus.bc31.fsa	1631	3536131	3487201
acidihalobacter_prosperus.pa19.fsa	1394	3502863	3477771
acidihalobacter_prosperus.pa23.fsa	778	3499108	3481992
acidihalobacter_prosperus.pa27.fsa	615	3500837	3484847
acidihalobacter_prosperus.pa31.fsa	538	3503341	3487201
acidimicrobium_ferrooxidans.bc19.fsa	8570	2256647	2102387
acidimicrobium_ferrooxidans.bc23.fsa	1973	2150152	2106746
acidimicrobium_ferrooxidans.bc27.fsa	1407	2145580	2108998
acidimicrobium_ferrooxidans.bc31.fsa	1162	2145653	2110793
acidimicrobium_ferrooxidans.pa19.fsa	1718	2133311	2102387
acidimicrobium_ferrooxidans.pa23.fsa	636	2120738	2106746
acidimicrobium_ferrooxidans.pa27.fsa	463	2121036	2108998
acidimicrobium_ferrooxidans.pa31.fsa	363	2121683	2110793
acidiphilium_multivorum.bc19.fsa	46740	4837181	3995861
acidiphilium_multivorum.bc23.fsa	7204	4175008	4016520
acidiphilium_multivorum.bc27.fsa	4633	4144389	4023931
acidiphilium_multivorum.bc31.fsa	3749	4141947	4029477
acidiphilium_multivorum.pa19.fsa	8831	4154819	3995861
acidiphilium_multivorum.pa23.fsa	2175	4064370	4016520
acidiphilium_multivorum.pa27.fsa	1448	4061579	4023931
acidiphilium_multivorum.pa31.fsa	1233	4066467	4029477
acidipropionibacterium_virtanenii.bc19.fsa	18488	3704327	3371543
acidipropionibacterium_virtanenii.bc23.fsa	2994	3445609	3379741
acidipropionibacterium_virtanenii.bc27.fsa	2006	3435252	3383096
acidipropionibacterium_virtanenii.bc31.fsa	1563	3432495	3385605
acidipropionibacterium_virtanenii.pa19.fsa	3564	3435695	3371543
acidipropionibacterium_virtanenii.pa23.fsa	963	3400927	3379741
acidipropionibacterium_virtanenii.pa27.fsa	679	3400750	3383096
acidipropionibacterium_virtanenii.pa31.fsa	530	3401505	3385605
acidisarcina_polymorpha.bc19.fsa	16512	7743405	7446189
acidisarcina_polymorpha.bc23.fsa	7955	7634802	7459792
