species	genomes
burkholderia_multivorans	14
burkholderia_oklahomensis	4
burkholderia_sp	22
burkholderia_thailandensis	22
burkholderia_ubonensis	6
burkholderia_vietnamiensis	6
calothrix_sp	7
campylobacter_coli	31
campylobacter_fetus	9
campylobacter_jejuni	166
campylobacter_lari	9
campylobacter_pinnipediorum	5
campylobacter_sp	15
campylobacter_sputorum	5
candidatus_arthromitus	4
candidatus_blochmannia	4
candidatus_carsonella	7
candidatus_kinetoplastibacterium	8
candidatus_liberibacter	8
candidatus_planktophila	13
candidatus_portiera	8
candidatus_rhodoluna	4
candidatus_saccharibacteria	8
candidatus_sulcia	25
capnocytophaga_sp	6
caulobacter_vibrioides	6
cedecea_neteri	4
cellulomonas_sp	5
cellvibrio_sp	4
chitinophaga_sp	4
chlamydia_abortus	4
chlamydia_muridarum	20
chlamydia_pecorum	4
chlamydia_pneumoniae	5
chlamydia_psittaci	22
chlamydia_trachomatis	83
chromobacterium_sp	4
chryseobacterium_sp	16
citrobacter_amalonaticus	4
citrobacter_freundii	4
citrobacter_portucalensis	6
citrobacter_sp	15
citrobacter_werkmanii	4
clostridium_saccharobutylicum	5
clostridium_sp	8
collinsella_aerofaciens	4
colwellia_sp	6
corynebacterium_sp	9
corynebacterium_ulcerans	14
coxiella_burnetii	12
cupriavidus_metallidurans	4
cupriavidus_necator	4
dehalococcoides_mccartyi	24
deinococcus_radiodurans	5
desulfovibrio_vulgaris	4
dickeya_solani	6
dickeya_zeae	5
edwardsiella_piscicida	4
edwardsiella_tarda	5
ehrlichia_chaffeensis	8
elizabethkingia_anophelis	21
endosymbiont_of	7
enterobacter_asburiae	9
enterobacter_cloacae	5
enterobacter_hormaechei	60
enterobacter_kobei	6
enterobacter_ludwigii	9
enterobacter_roggenkampii	8
enterobacter_sp	14
enterobacteriaceae_bacterium	6
enterococcus_faecalis	41
enterococcus_faecium	87
enterococcus_hirae	4
enterococcus_mundtii	5
enterococcus_sp	5
erysipelothrix_sp	4
escherichia_albertii	14
ethanoligenens_harbinense	5
exiguobacterium_sp	4
faecalibacterium_prausnitzii	5
flavobacteriaceae_bacterium	5
flavobacterium_columnare	6
flavobacterium_psychrophilum	9
flavobacterium_sp	6
francisella_noatunensis	23
fusobacterium_necrophorum	5
fusobacterium_nucleatum	14
fusobacterium_pseudoperiodonticum	9
geobacillus_sp	7
geobacillus_thermodenitrificans	4
geobacillus_thermoleovorans	4
glaesserella_parasuis	14
gordonia_sp	5
granulibacter_bethesdensis	10
grimontia_hollisae	4
haemophilus_ducreyi	13
haemophilus_influenzae	56
halomonas_sp	14
helicobacter_cinaedi	6
helicobacter_pylori	157
herbaspirillum_seropedicae	4
histophilus_somni	21
hydrogenobaculum_sp	5
hydrogenophaga_sp	6
hymenobacter_sp	11
janthinobacterium_sp	6
ketogulonicigenium_vulgare	5
klebsiella_michiganensis	14
klebsiella_quasipneumoniae	22
klebsiella_sp	7
klebsiella_variicola	20
labrenzia_sp	8
lachnospiraceae_bacterium	4
lactobacillus_backii	5
lactobacillus_crispatus	4
lactobacillus_iners	7
lactobacillus_johnsonii	12
lactobacillus_rhamnosus	20
lactobacillus_sp	8
lactococcus_garvieae	4
lactococcus_lactis	38
lactococcus_raffinolactis	6
leclercia_adecarboxylata	11
