species	genomes
ancylobacter_sp	1
aneurinibacillus_soli	1
aneurinibacillus_sp	1
anoxybacillus_amylolyticus	1
anoxybacillus_flavithermus	2
anoxybacillus_gonensis	1
anoxybacillus_sp	3
anoxybacter_fermentans	1
anseongella_ginsenosidimutans	1
antarcticibacterium_flavum	1
antarcticibacterium_sp	1
antarctobacter_heliothermus	1
apibacter_sp	3
aquabacterium_olei	1
aquaspirillum_sp	1
aquifex_aeolicus	1
aquimarina_sp	3
aquisphaera_giovannonii	1
aquitalea_denitrificans	1
aquitalea_magnusonii	1
aquitalea_sp	2
arachidicoccus_ginsenosidivorans	1
arachidicoccus_sp	3
arcanobacterium_sp	1
archangium_gephyra	1
arcobacter_anaerophilus	1
arcobacter_canalis	1
arcobacter_cibarius	1
arcobacter_ellisii	1
arcobacter_halophilus	1
arcobacter_marinus	1
arcobacter_molluscorum	1
arcobacter_mytili	1
arcobacter_pacificus	1
arcobacter_porcinus	1
arcobacter_sp	2
arcobacter_suis	1
arcobacter_thereius	1
arcobacter_trophiarum	1
arcticibacterium_luteifluviistationis	1
arenibacter_algicola	1
aromatoleum_aromaticum	1
arsenicicoccus_sp	1
arsenophonus_endosymbiont	1
arsenophonus_nasoniae	1
arthrobacter_alpinus	3
arthrobacter_crystallopoietes	1
arthrobacter_dokdonellae	1
arthrobacter_sp	18
asaia_bogorensis	1
aster_yellows	1
asticcacaulis_excentricus	2
athalassotoga_saccharophila	1
atopobium_parvulum	1
aurantimicrobium_minutum	1
aurantimicrobium_sp	2
aureimonas_sp	1
aureitalea_sp	1
auricoccus_indicus	1
auritidibacter_sp	1
austwickia_chelonae	1
avibacterium_paragallinarum	9
azoarcus_communis	2
azoarcus_olearius	1
azoarcus_sp	7
azorhizobium_caulinodans	1
azospira_oryzae	1
azospira_sp	1
azospirillum_brasilense	7
azospirillum_lipoferum	1
azospirillum_sp	6
azospirillum_thiophilum	1
azotobacter_salinestris	1
bacillaceae_bacterium	4
bacillus_aerophilus	1
bacillus_albus	2
bacillus_altitudinis	11
bacillus_amyloliquefaciens	35
bacillus_anthracis	59
bacillus_aryabhattai	1
bacillus_asahii	1
bacillus_beveridgei	1
bacillus_bombysepticus	1
bacillus_butanolivorans	1
bacillus_caldolyticus	1
bacillus_cereus	59
bacillus_ciccensis	1
bacillus_circulans	2
bacillus_clausii	3
bacillus_coagulans	9
bacillus_cohnii	1
bacillus_cytotoxicus	11
bacillus_filamentosus	1
bacillus_flexus	2
bacillus_foraminis	1
bacillus_gibsonii	1
bacillus_glycinifermentans	2
bacillus_halodurans	2
bacillus_halotolerans	2
bacillus_horikoshii	1
bacillus_infantis	1
bacillus_intestinalis	1
bacillus_kochii	1
bacillus_krulwichiae	1
bacillus_lehensis	1
bacillus_licheniformis	28
bacillus_litoralis	1
bacillus_luti	1
bacillus_marisflavi	2
bacillus_megaterium	6
bacillus_mesonae	1
bacillus_mobilis	1
bacillus_mojavensis	1
bacillus_muralis	1
bacillus_oceanisediminis	1
bacillus_pacificus	1
bacillus_paralicheniformis	9
bacillus_paranthracis	4
bacillus_pseudofirmus	1
bacillus_pseudomycoides	2
bacillus_safensis	6
bacillus_selenitireducens	1
bacillus_siamensis	1
bacillus_sonorensis	1
bacillus_sp	54
bacillus_tequilensis	1
bacillus_thermoamylovorans	1
bacillus_thermocopriae	1
bacillus_toyonensis	1
bacillus_tropicus	1
bacillus_vallismortis	3
bacillus_velezensis	116
bacillus_vietnamensis	1
bacillus_weihaiensis	1
bacillus_wiedmannii	2
bacillus_xiamenensis	1
bacterioplanes_sanyensis	1
bacteriovorax_stolpii	2
bacteroidales_bacterium	1
bacteroides_caccae	1
bacteroides_caecimuris	1
bacteroides_cellulosilyticus	1
bacteroides_dorei	1
bacteroides_fragilis	14
bacteroides_helcogenes	1
bacteroides_intestinalis	1
bacteroides_salanitronis	1
bacteroides_sp	2
bacteroides_thetaiotaomicron	2
bacteroides_uniformis	1
bacteroides_vulgatus	2
bacteroides_xylanisolvens	1
baekduia_soli	1
barnesiella_viscericola	1
bartonella_ancashensis	1
bartonella_apis	2
bartonella_australis	1
bartonella_bacilliformis	3
bartonella_clarridgeiae	1
bartonella_grahamii	1
bartonella_henselae	2
bartonella_kosoyi	1
bartonella_krasnovii	1
bartonella_quintana	3
bartonella_sp	6
bartonella_tribocorum	1
bartonella_vinsonii	1
basfia_succiniciproducens	1
basilea_psittacipulmonis	1
baumannia_cicadellinicola	1
bdellovibrio_bacteriovorus	5
bdellovibrio_exovorus	1
bdellovibrio_sp	2
beggiatoa_leptomitoformis	2
beijerinckiaceae_bacterium	2
belliella_baltica	1
bergeyella_cardium	1
bermanella_marisrubri	1
bernardetia_litoralis	1
beta_proteobacterium	1
betaproteobacteria_bacterium	1
beutenbergia_cavernae	1
bibersteinia_trehalosi	4
bifidobacterium_actinocoloniiforme	1
bifidobacterium_choerinum	1
bifidobacterium_gallinarum	1
bifidobacterium_longum	27
bifidobacterium_scardovii	1
bifidobacterium_thermophilum	1
blastochloris_tepida	1
blastochloris_viridis	1
